research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
info_gen,admin,admin_0,NA,NA,admin_1,categorical,direct_reporting
info_gen,admin,admin_0,NA,NA,admin_2,categorical,direct_reporting
info_gen,admin,admin_0,NA,NA,admin_3,categorical,direct_reporting
info_gen,demo,admin_0,NA,NA,ig_1_age,numerical,direct_reporting
info_gen,demo,admin_0,NA,NA,ig_2_sexe,categorical,direct_reporting
info_gen,demo,admin_0,NA,NA,ig_3_role,categorical,direct_reporting
info_gen,demo,admin_0,NA,NA,ig_4_sexe_chef_menage,categorical,direct_reporting
info_gen,demo,admin_0,NA,NA,ig_5_age_chef_menage,numerical,direct_reporting
info_gen,displacement,admin_0,NA,NA,ig_8_statut,categorical,direct_reporting
info_gen,displacement,admin_0,NA,NA,ig_11_idp_rtl,categorical,direct_reporting
info_gen,displacement,admin_0,NA,NA,ig_11_idp_rtl_autre,categorical,direct_reporting
info_gen,displacement,admin_0,NA,NA,ig_12_idp_length_idp,categorical,direct_reporting
info_gen,displacement,admin_0,NA,NA,ig_14_idp_cond_retour,categorical,direct_reporting
info_gen,displacement,admin_0,NA,NA,ig_14_idp_cond_retour_autre,categorical,direct_reporting
info_gen,displacement,admin_0,NA,NA,ig_16_ret_rapat_dest_finale_oui_non,categorical,direct_reporting
info_gen,displacement,admin_0,NA,NA,ig_16_ret_rapat_abri_origine_non_raison,categorical,direct_reporting
info_gen,displacement,admin_0,NA,NA,ig_16_ret_rapat_abri_origine_non_raison_autre,categorical,direct_reporting
info_gen,displacement,admin_0,NA,NA,ig_17_ret_rapat_dest_finale_non_raison,categorical,direct_reporting
info_gen,displacement,admin_0,NA,NA,ig_15_rtr_ret_rapat,categorical,direct_reporting
info_gen,displacement,admin_0,NA,NA,ig_15_idp_rtr_ret_rapat_autre,categorical,direct_reporting
info_gen,comp_hh,admin_0,NA,NA,ig_6_hh_membres_tot,numerical,direct_reporting
info_gen,comp_hh,admin_0,NA,NA,ig_9_hote_fa,categorical,direct_reporting
info_gen,comp_hh,admin_0,NA,NA,ig_10_hote_fa_0_4,numerical,direct_reporting
info_gen,comp_hh,admin_0,NA,NA,ig_10_hote_fa_5_17,numerical,direct_reporting
info_gen,comp_hh,admin_0,NA,NA,ig_10_hote_fa_18plus,numerical,direct_reporting
education,inscription,admin_0,NA,NA,sum_educ_2_inscrit_18_19_non,numerical,direct_reporting
