research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,hhs_nofood_score,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,hhs_sleephungry_score,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,hhs_daynighthunger_score,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,hhs_score,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,secal_11_lcs_actifs_non_prod_score,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,secal_11_lcs_actifs_prod_score,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,secal_11_lcs_reduire_dep_score,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,secal_11_lcs_dep_epargne_score,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,secal_11_lcs_emprunter_score,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,secal_11_lcs_retirer_ecole_score,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,secal_11_lcs_vendre_maison_score,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,secal_11_lcs_activites_risquees_score,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,secal_11_lcs_mendier_score,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,secal_11_lcs_vendre_animaux_score,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,secal_11_lcs_consommer_semences_score,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,lcs_urgence,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,lcs_crise,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,lcs_stress,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,lcs_minimal,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,lcs_total,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,fcs_score_poor,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,fcs_score_borderline,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,fcs_score_acceptable,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,fcs_score_acceptable2,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,rcsi_high,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,rcsi_med,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,rcsi_low,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,hhs_light,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,hhs_moderate,numerical,direct_reporting
RQ: not specified (automatic analysisplan),sub RQ not specified (automatic analysisplan),admin_0,NA,NA,hhs_severe,numerical,direct_reporting
