Sous_prefecture,Tot
Bamingui,159
Ndele,180
Bangui,346
Alindao,189
Kembe,124
Mobaye,149
Satema,110
Zangba,106
Bria,407
Obo,134
Zemio,259
Dekoa,117
Mala,110
Ndjoukou,120
Sibut,113
Boda,129
Boganangone,116
Boganda,117
Mbaiki,128
Mongoumba,117
Amada_Gaza,119
Berberati,108
Carnot,119
Dede_Mokouba,116
Gadzi,112
Gamboula,117
Sosso_Nakombo,107
Bakouma,124
Bangassou,111
Gambo,127
Ouango,97
Rafai,114
Kaga_Bandoro,322
Mbres,107
Abba,109
Baboua,110
Baoro,108
Bouar,50
Bimbo,113
Boali,117
Bogangolo,117
Bossembele,111
Damara,104
Yaloke,116
Bakala,95
Bambari,257
Grimari,113
Ippy,95
Kouango,78
Batangafo,119
Bossangoa,106
Bouca,92
Kabo,117
Markounda,108
Nana_Bakassa,110
Nangha_Boguila,105
Bocaranga,120
Bossemtele,118
Bozoum,98
Koui,101
Ngaoundaye,117
Paoua,147
Bambio,105
Bayanga,103
Nola,125
Birao,178
