mismatched_loc$Localites_visitees_labels,admin_2,cor_finale
Quartier Sultan 1,Ndele,NDELE
N'doka2,Ndele,NDELE
Ndoka 2,Ndele,NDELE
Mourouba,Ndele,NDELE
Mouroba,Ndele,NDELE
Ndoka,Ndele,NDELE
Kpetene,Ndele,NDELE
Ndoka 1,Ndele,NDELE
Ndoka1,Ndele,NDELE
Ndouka,Ndele,NDELE
Sultan 2,Ndele,NDELE
Soultan2,Ndele,NDELE
Soulta 2,Ndele,NDELE
Soultan 1,Ndele,NDELE
Kandja,Ndele,NDELE
Ngandja,Ndele,NDELE
Kandjia,Ndele,NDELE
Ngaoundakpa,Ndele,NDELE
N'gaoundakpa,Ndele,NDELE
Lamena 1,Ndele,LEMANA 2
Ngadjia,Ndele,NDELE
Lamena 2,Ndele,LEMANA 2
Lemea 1,Ndele,LEMANA 2
Village limite:6km bobanon,Bouca,pk6 Babanon
Boguilo2 6km de bobanon,Bouca,pk6 Babanon
Limite,Bouca,pk6 Babanon
Kongo,Alindao,KONGO 2
Birao 2,Birao,BIRAO
Birao 4,Birao,BIRAO
Djoub kia 1,Birao,BIRAO
Djoub kia,Birao,BIRAO
Djoub Kia 1,Birao,BIRAO
Djoubkia 1,Birao,BIRAO
Djoubkia 2,Birao,BIRAO
Birao5,Birao,BIRAO
Birao 3,Birao,BIRAO
Benguess,Birao,BENGUES
Lamena1,Birao,BIRAO
Aboudja 1,Birao,BIRAO
Ndjamena,Birao,BIRAO
Djamal3,Birao,BIRAO
Djamena 1,Birao,BIRAO
Djamal 3,Birao,BIRAO
Montage 2,Birao,BIRAO
AMBASSATNA,Birao,BIRAO
Nguerendoma,Birao,BIRAO
Ngerndoma,Birao,BIRAO
Djoubkia  2,Birao,BIRAO
Dounia 2,Birao,BIRAO
Birao 7,Birao,BIRAO
Djoub Kia,Birao,BIRAO
Djoubkia,Birao,BIRAO
Tambaye4,Birao,BIRAO
Tambaye 4,Birao,BIRAO
Tambaye 3,Birao,BIRAO
Tambai 3,Birao,BIRAO
Tambai 4,Birao,BIRAO
Bringuess,Birao,BENGUES
Ngeurendoma,Birao,BIRAO
"Birao 5  , dahal",Birao,BIRAO
"Birao, dahal",Birao,BIRAO
"Birao, roukoutou",Birao,BIRAO
"Djoubkia , roukoutou",Birao,BIRAO
Tambaye3,Birao,BIRAO
Birao 5 (Village Roukoutou),Birao,BIRAO
Birao 5 ( Village Roukoutou),Birao,BIRAO
Birao 5 Village Dahal Amlas,Birao,BIRAO
Birao 6 (Village Roukoutou),Birao,BIRAO
Ngueredomo,Birao,BIRAO
Abudja,Birao,BIRAO
Abudja2,Birao,BIRAO
Ambassadna,Birao,BIRAO
Rounga 1,Birao,BIRAO
Rounga 2,Birao,BIRAO
Ambassatna,Birao,BIRAO
Apbassatna,Birao,BIRAO
Tatene,Birao,BIRAO
Manou,Birao,BIRAO
Montage,Birao,BIRAO
Tambay 1,Birao,BIRAO
Tambay 2,Birao,BIRAO
Ardo,Birao,BIRAO
Tambaye 2,Birao,BIRAO
Songo,Birao,BIRAO
Djamal 2,Birao,BIRAO
Lamena,Birao,BIRAO
Birao 1,Birao,BIRAO
Ngerdouma,Birao,BIRAO
Combattant,Birao,BIRAO
L'amena 2,Birao,BIRAO
Lamena 1,Birao,BIRAO
Lamena 2,Birao,BIRAO
Fouh Ndedegue4,Bangui,Bangui 4e
Combattant1,Bangui,Bangui 8e
7,Bangui,Bangui 7e
7,Bangui,Bangui 7e
Site élevage,Bambari,CAMP ELEVAGE
,Bambari,CTRO
Kapabanda-Mbata,Bambari,Kapabanda
Kapabanda-mbata,Bambari,Kapabanda
Boua-Boziki,Bouar,Beiya-Gbakounde
Boabouzi,Bouar,Beiya-Gbakounde
Bwa bouziki,Bouar,Beiya-Gbakounde
Bouabouziki,Bouar,Beiya-Gbakounde
Botengue,Bossangoa,Bedobo
Kouki,Bossangoa,Gpt Kouki
Kouki,Nana_Bakassa,Gpt Kouki
Bogalé,Bossangoa,Bogale
Bébé,Kaga_Bandoro,Kaga-Bandoro
Socada,Kaga_Bandoro,Kaga-Bandoro
Gbaya,Kaga_Bandoro,Kaga-Bandoro
Quartier gobongo 2,Kaga_Bandoro,GOBONGO 2
Quartier gobongo2,Kaga_Bandoro,GOBONGO 2
Serebanda,Kaga_Bandoro,Kaga-Bandoro
6 arrd quartier baïpô1,Kaga_Bandoro,BAIPO 1
Mambea,Kaga_Bandoro,Kaga-Bandoro
6 arrd quartier baïpô,Kaga_Bandoro,BAIPO 1
Balekara,Kaga_Bandoro,Kaga-Bandoro
Abakar,Kaga_Bandoro,Kaga-Bandoro
Bakouté,Kaga_Bandoro,BAKOUTE
Bakoute,Kaga_Bandoro,BAKOUTE
Quartier bakoute,Kaga_Bandoro,BAKOUTE
Bloc 3,Kaga_Bandoro,Minusca
Bakala koupi,Bakala,Bakala-Koupi
BAKALA COUPI,Bakala,Bakala-Koupi
GBNGUELA,Bakala,Banguéla
Gb anguéla,Bakala,Banguéla
Bakalacoupy,Bakala,Bakala-Koupi
Banguela,Bakala,Banguéla
Banguila,Bakala,Banguéla
Gbanguele,Bakala,Banguéla
Bandali,Bangassou,Bondele
Bondony,Bangassou,Bondele
BADALI,Bangassou,Bondele
Sambora,Bangassou,a Rafai
Mboro,Bangassou,BADAKOU
Mbondo,Bangassou,BONDO
MBONDO,Bangassou,BONDO
Nbondo,Bangassou,BONDO
Baundo,Bangassou,BONDO
Bene,Ngaoundaye,Bène
Doma,Ippy,Domo
Benawayo,Berberati,Ouatta
Ndiba 1,Mbres,Ndiba
Boulou2,Bimbo,
Mindjoukota,Grimari,Mindoukota
'LA BAMBA,Ndjoukou,La Bamba
Kangamote 2km de kpabe,Ndjoukou,pk2 Kpabe
Gbazanga,Ndjoukou,pk2 Kpabe
La bamba ,Ndjoukou,La Bamba
LA- BAMBA,Ndjoukou,La Bamba
Kangamaté (2km de kpabé),Ndjoukou,pk2 Kpabe
La Bamba (gbalé),Ndjoukou,La Bamba
"La   ,bamba",Ndjoukou,La Bamba
La. Bamba,Ndjoukou,La Bamba
Alime,Baboua,Unknown 50
Koungoulou (Unknown 50?),Baboua,Unknown 50
Koundoulou,Baboua,Unknown 50
Alime koundoulou,Baboua,Unknown 50
Koungulou,Baboua,Unknown 50
Koungoulou,Baboua,Unknown 50
Ngamango,Baboua,Ngamongo
Alim kougoulou,Baboua,Unknown 50
Alima,Baboua,Unknown 50
Alim,Baboua,Unknown 50
Goundro,Baboua,Unknown 50
Alim koungoulou,Baboua,Unknown 50
Kangulou,Baboua,Unknown 50
Bondjoukobon (pk5) Lamy ponc,Abba,Unknown 39 (Bondjoukombo)
Sogniki,Kabo,Ngonikira
Goneker 1,Kabo,Ngonikira
Ngonkira,Kabo,Ngonikira
Nhonikira,Kabo,Ngonikira
NGonkira,Kabo,Ngonikira
Camp_kouper,Kouango,Camp-coupeurs
Camp kouper,Kouango,Camp-coupeurs
Camp _ Couper,Kouango,Camp-coupeurs
Camp coupeurs,Kouango,Camp-coupeurs
Camp_coupeur,Kouango,Camp-coupeurs
Ngakobo centre ville,Kouango,Ngakobo
Ngakopo,Kouango,Ngakobo
Site Ngakobo,Kouango,Ngakobo
Site des déplacés,Kouango,Ngakobo
Site de ngakobo,Kouango,Ngakobo
Site ngakobo,Kouango,Ngakobo
Site centre,Kouango,Ngakobo
Site ngakobo centre,Kouango,Ngakobo
Gambo(Bao),Gambo,BAO
Gambo (Bao),Gambo,BAO
Gambo(Babala),Gambo,BABALA
Babaro,Nangha_Boguila,Bogaza
Nguerengou1,Damara,Gbaya 2
Pata,Damara,Maraba
Gbago1,Damara,Gbago
Ggago,Damara,Gbago
Ngouaka,Damara,Ngouka
Unkonwn58(kosso),Bozoum,Unknown 58
Zaza ,Bozoum,ZAZA
Haï 1,Bozoum,Hay
Unknown 58(kosso),Bozoum,Unknown 58
Ai,Bozoum,Hay
Bossemptelé quartier Galilée,Bossemtele,BALLA
Bossemtelé,Bossemtele,BALLA
Bossemptele (Quartier Gallile),Bossemtele,BALLA
Bosemptele(quartier Galilée),Bossemtele,BALLA
Bosemptele (quartier Galilée),Bossemtele,BALLA
Bossemptele(Galillé),Bossemtele,BALLA
