Pr̩f̩ctu,Sous.pr̩fectur,Localit̩
Bamingui-Bangoran,Bamingui,Kotissako
Bamingui-Bangoran,Bamingui,Niango 1
Bamingui-Bangoran,Bamingui,Niango 2
Bamingui-Bangoran,Bamingui,Unknown 87
Bamingui-Bangoran,Bamingui,BALOUBA
Bamingui-Bangoran,Bamingui,YAMBALLA
Bamingui-Bangoran,Bamingui,MBENGOU
Bamingui-Bangoran,Ndele,Ndele
Bamingui-Bangoran,Ndele,Ouhi
Bamingui-Bangoran,Ndele,GOZAMAR
Bamingui-Bangoran,Ndele,LEMANA 2
Bamingui-Bangoran,Ndele,LEMANA 3
Bamingui-Bangoran,Ndele,SOKOUMBA
Bamingui-Bangoran,Ndele,Haoussa 2
Bamingui-Bangoran,Ndele,Ngadja
Bamingui-Bangoran,Ndele,ZOUKOUTOUNIALA 2
Bangui,Bangui,Bangui 2e
Bangui,Bangui,Bangui 3e
Bangui,Bangui,Bangui 4e
Bangui,Bangui,Bangui 5e
Bangui,Bangui,Bangui 6e
Bangui,Bangui,Bangui 7e
Bangui,Bangui,Bangui 8e
Basse-Kotto,Alindao,Bando
Basse-Kotto,Alindao,Kawa
Basse-Kotto,Alindao,ANGAZEU (KONGBO)
Basse-Kotto,Alindao,BANGUI-VILLE
Basse-Kotto,Alindao,ELIM 2
Basse-Kotto,Alindao,KONGO 2
Basse-Kotto,Alindao,MISSION CATHOLIQUE
Basse-Kotto,Alindao,Site AFAPS
Basse-Kotto,Alindao,Site Elim
Basse-Kotto,Alindao,Site Pk3 axe mingala
Basse-Kotto,Alindao,VOUNDJA DJOGO
Basse-Kotto,Alindao,ZARAWA
Basse-Kotto,Kembe,Gouala
Basse-Kotto,Kembe,Benguere
Basse-Kotto,Kembe,Bidou 2
Basse-Kotto,Kembe,Bidou 1
Basse-Kotto,Kembe,Gbama 3
Basse-Kotto,Kembe,Kembe
Basse-Kotto,Kembe,Ngalia
Basse-Kotto,Mobaye,Banda-Fara
Basse-Kotto,Mobaye,Boubanda
Basse-Kotto,Mobaye,Boyidou
Basse-Kotto,Mobaye,Dougba
Basse-Kotto,Mobaye,Gbabi 1
Basse-Kotto,Mobaye,Mobaye
Basse-Kotto,Mobaye,Koyabrou
Basse-Kotto,Mobaye,BANDOU 2
Basse-Kotto,Mobaye,GBAMA 1
Basse-Kotto,Mobaye,KANDJA
Basse-Kotto,Mobaye,OYE 1
Basse-Kotto,Satema,Banda
Basse-Kotto,Satema,Deou
Basse-Kotto,Satema,Boungba 1
Basse-Kotto,Satema,Ngbando 1
Basse-Kotto,Satema,Satema
Basse-Kotto,Zangba,Balidou 1
Basse-Kotto,Zangba,Gbouma
Basse-Kotto,Zangba,Damba
Basse-Kotto,Zangba,Gouadje 2
