research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
pin,nfi,,,,pin_score_nfi,categorical,
pin,nfi,,,,pin_abri_surface,categorical,
pin,education,,,,pin_educ_freq,categorical,
pin,sante,,,,pin_sante_lieuaccouchement,categorical,
pin,mssc,,,,pin_mssc_marche,categorical,
pin,protection,,,,pin_protec_acces_service,categorical,
pin,protection,,,,pin_protec_peur,categorical,
pin,secal,,,,pin_secal_hhs,categorical,
pin,secal,,,,pin_secal_lcs,categorical,
pin,secal,,,,pin_secal_fcs,categorical,
pin,sante,,,,pin_sante_diarrhee,categorical,
pin,wash,,,,pin_wash_source,categorical,
pin,wash,,,,pin_wash_infra,categorical,
pin,protection,,,,pin_protec_detresse,numerical,
