index,value,variable,has_issue,issue_type,Réponse correcte
NA,NA,aap_4_retour_fournisseurs_aide.telephone,TRUE,Potentially sensitive information. Please ensure all PII is removed,
NA,NA,gpslocation_hh,TRUE,Potentially sensitive information. Please ensure all PII is removed,
NA,NA,X_gpslocation_hh_latitude,TRUE,Potentially sensitive information. Please ensure all PII is removed,
NA,NA,X_gpslocation_hh_longitude,TRUE,Potentially sensitive information. Please ensure all PII is removed,
NA,NA,X_gpslocation_hh_altitude,TRUE,Potentially sensitive information. Please ensure all PII is removed,
NA,NA,X_gpslocation_hh_precision,TRUE,Potentially sensitive information. Please ensure all PII is removed,
76,1.068E+12,diviceid,TRUE,normal distribution outlier,
77,1.068E+12,diviceid,TRUE,normal distribution outlier,
78,1.068E+12,diviceid,TRUE,normal distribution outlier,
329,1.068E+12,diviceid,TRUE,normal distribution outlier,
659,1.068E+12,diviceid,TRUE,normal distribution outlier,
660,1.068E+12,diviceid,TRUE,normal distribution outlier,
728,1.068E+12,diviceid,TRUE,normal distribution outlier,
730,1.068E+12,diviceid,TRUE,normal distribution outlier,
789,1.068E+12,diviceid,TRUE,normal distribution outlier,
66,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
178,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
204,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
220,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
221,21,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
271,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
377,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
553,18,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
576,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
720,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
769,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
803,-5,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
847,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
850,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
852,20,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
861,35,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
994,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
1087,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
1090,20,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
1216,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
1263,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
1279,-8,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
1319,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
1423,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
1461,-3,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
1783,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
1856,17,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
1961,16,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
2066,15,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
2576,16,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
2604,16,ig_6_HH_membres_tot,TRUE,normal distribution outlier,
