aap_1_1_source_confiance_autre,aap_1_1_source_confiance_autre_recoded,aap_3_canal_information_autre,aap_3_canal_information_autre_recoded,sante_5_deces_cause_autre,sante_5_deces_cause_autre_recoded,nfi_propr_abri_autre,nfi_propr_abri_autre_recoded
De la part de radio communautaire,autre,Radio locale,radio,Suite a l'accouchement,autre,Site,autre
Auprès de nos responsables sit,autre,Radio,radio,Torture a une fausse accusations de la de la sociéler,autre,Pour un père qui a retourner à Bang,autre
Auprès de responsable de la sit,autre,Radio,radio,C'EST serpent qui l'a piqu�,cause_animale,On vient retournés Au villag,autre
Auprès de nos responsables sit,autre,Radio,radio,iPod,autre,Nous sommes retournés pour pouvoir construire cette maiso,autre
Auprès de nos responsables sit,autre,Radio,radio,L'anémi,maladie_autre,Après le retour du conflit arm,autre
Auprès de nos chefs des villages et travailleur humanitair,autre,Radio,radio,Poursuite après opération Ern,maladie_autre,Abris construire dans l'urgence,autre
Président de la jeuness,chef_communaut�,Radio locale,radio,Maladie suite au soucis de ses biens qu'il a perdu dans des crise et éventuellement que notre pays a endur,autre,Abris de la famille,pret
Le président du sit,chef_communaut�,Par radio communautaire,radio,Morsure de serpent,cause_animale,J'ai été accueilli par une famille de bonne f,pret
Radio FM,radio,Par radio communautaire,radio,Décès suite à l accoucheme,autre,Maison en famille d'accueil,pret
Par mettre,autre,Auprès de nos responsable sit,face_a_face,Cette personne a participé au combat,acc_CA,Maison en famille d'accueil,pret
Par lettre,autre,Auprès de nos responsables sit,face_a_face,Tué par les groupes armés non conventionnel,acc_CA,L'héritage de mon pè,autre
Chez le représentant du sit,chef_communaut�,Auprès de nos responsables sit,face_a_face,Suite à un bagarre avec les groupes arm�,acc_CA,abri d' urgence,autre
Responsables des blocs du site,chef_communaut�,Auprès de nos responsables sit,face_a_face,Suite a l'accouchement,autre,Je suis chez un parent,pret
Journaliste,autre,Auprès de nos responsables sit,face_a_face,Accident,autre,Personnel,autre
Journaliste,autre,Auprès de nos responsables sit,face_a_face,Tuberculose,maladie_autre,Pour les familles d'accueil,pret
Pas des informations fiables,autre,Parfois par nos chefs de village.ou humanitaire,face_a_face,Décès suite à la malnutrit,manque_nourrit,Rester provisoirement,pret
Journaliste,autre,Problème d'information il faut que tu vas en ville pour recevoir l'informatio,autre,Suit a mauvais accouchement,autre,Famille,pret
Les commerçant,autre,Toujours par radio communautaire,radio,Santé mantal,maladie_autre,Bien commun,autre
Aucunement pas,autre,Par radio communautaire,radio,Décès suite à l'accouchem,autre,Bien commun,autre
Un voyageur revenant de la grande ville comme bambari et autres,autre,Rien,autre,Drepanositose,autre,Maison familiale,autre
A travers les chefs de bloque,chef_communaut�,Aucune,autre,Noyade,autre,Maison familiale,autre
Les groupes armé,groupes_armes,Radio,radio,Décès sans malad,naturelle,Maison familiale,autre
Dieu,autre,Radio,radio,Morte quelques après la naissanc,autre,Maison familiale,autre
A la radio,autre,Radio,radio,Suite à l'ccouchemen,autre,Maison familiale,autre
Radio,radio,Avec une radio,radio,Suite a une opératio,autre,Bien commun,autre
Dieu le tout puissant,autre,Sur le média(radio,radio,Suite a une maladie dat�,maladie_autre,Bien commun,autre
Nous sommes sans nouvelle depuis longtemps.,autre,Radio,radio,Mort subitement,autre,Bien commun,autre
Journaliste,autre,Le média radi,radio,Tu pendant la crise,autre,Bien commun,autre
Journaliste,autre,Rien,autre,Mort subite,autre,souls couvers,autre
Journaliste,autre,Radio,radio,Tué par les groupes armés.(3,acc_CA,Bien commun,autre
